Date,Portfolio_Return,Market_Return,Portfolio_Value,Market_Value,Turnover,TopK
2024-07-19,0.03989955701015768,0.011485255006000911,1.0398995570101577,1.011485255006001,0.0,5
2024-07-26,-0.0008622884396919384,0.000572954865567206,1.039002863643707,1.0120647904043063,0.8,5
2024-08-02,0.012655547795369194,0.005354846485148331,1.0521520140440754,1.017484241989945,0.4,5
2024-08-09,0.017178775990975857,0.001227577802181819,1.0702266978017927,1.0187332830594815,0.4,5
2024-08-16,-0.012675074273344777,0.010936844073536057,1.0566614949178383,1.0298750101288245,0.4,5
2024-08-23,-0.010967874097813034,-0.0036837561891650845,1.0450721646775725,1.026081201686196,0.4,5
2024-08-30,0.04239569465329085,0.007129118297929981,1.0893787250618965,1.033396255956299,0.8,5
2024-09-09,0.017161066327991525,0.00735099765958865,1.1080736256189865,1.0409927494152615,0.6,5
2024-09-16,-0.018952826155811776,0.00014094532533057657,1.0870724988247897,1.0411394724769945,0.6,5
2024-09-23,-0.012555095365404511,0.0006033258218275292,1.073424199932936,1.0417676188048637,0.8,5
2024-09-30,-0.011392287524921784,-0.010587883881208333,1.0611954428110908,1.030737504225755,0.8,5
2024-10-07,0.0014674663135323617,0.0036713588931605807,1.0627527113754902,1.0345217115284082,0.8,5
2024-10-14,-0.025172340430326123,-0.002910375630188583,1.0360007383314942,1.0315108647502749,0.6,5
2024-10-21,0.02735585969605534,-0.0028237458142161592,1.0643414291743003,1.0285981402636177,0.8,5
2024-10-28,0.010668777731160883,0.0026586307721169723,1.075696651312227,1.031332802931465,0.6,5
2024-11-04,0.006234431304675936,0.00487241774461777,1.082403008189503,1.0363578871810746,1.0,5
2024-11-11,0.02784117358167144,0.0031094338925022167,1.1125383782258305,1.0395803735202374,0.6,5
2024-11-18,-0.00846984320671651,-0.004227518415982611,1.103115352600803,1.0351855283462865,0.6,5
2024-11-25,0.020709493069572527,-0.0006672735060455875,1.1259603123504285,1.0344947764693793,0.6,5
2024-12-02,-0.008930576566616421,0.006975385008057748,1.1159048375700116,1.041710775824078,0.4,5
2024-12-09,0.012349700880851633,-0.005397534956963952,1.1296859285254963,1.0360881054965214,0.8,5
2024-12-16,0.02039523672642112,0.008272692892374542,1.1527261404642806,1.0446593442027363,0.8,5
