TopK,Cumulative_Return,Annualized_Return,Annualized_Volatility,Sharpe,Max_Drawdown,Avg_Turnover
5,0.15272614046428057,0.3967235801420481,0.1346545103251786,2.9462331353327573,-0.06504341013191366,0.6181818181818183
10,0.07102168924269558,0.17588646288441478,0.10107348474582391,1.7401840188525008,-0.051098553817177775,0.5727272727272728
20,0.042502485026050696,0.10294094426163225,0.07436897367553552,1.384192078685305,-0.03470989165872122,0.5113636363636365
