Date,Portfolio_Return,Market_Return,Portfolio_Value,Market_Value,Turnover,TopK
2024-07-19,0.010457582363294731,0.011485255006000911,1.0104575823632946,1.011485255006001,0.0,20
2024-07-26,0.0005120218274314803,0.000572954865567206,1.0109749587011583,1.0120647904043063,0.95,20
2024-08-02,0.01875019152166164,0.005354846485148331,1.029930932800409,1.017484241989945,0.95,20
2024-08-09,0.000431120037404692,0.001227577802181819,1.030374956662682,1.0187332830594815,0.75,20
2024-08-16,0.013219143250183574,0.010936844073536057,1.0439956308162077,1.0298750101288245,0.85,20
2024-08-23,-0.01529609689886025,-0.0036837561891650845,1.0280265724852562,1.026081201686196,0.75,20
2024-08-30,0.02563345490480391,0.007129118297929981,1.054378445271997,1.033396255956299,0.8,20
2024-09-09,0.019643377684078762,0.00735099765958865,1.0750899992944267,1.0409927494152615,0.8,20
2024-09-16,0.0017220443117635987,0.00014094532533057657,1.0769413519123456,1.0411394724769945,0.9,20
2024-09-23,0.006941408250327347,0.0006033258218275292,1.0844168414976287,1.0417676188048637,0.85,20
2024-09-30,-0.023192766046184247,-0.010587883881208333,1.0592662153962322,1.030737504225755,0.85,20
2024-10-07,0.0053556973117821595,0.0036713588931605807,1.0649393246184915,1.0345217115284082,0.75,20
2024-10-14,-0.0051597683598682,-0.002910375630188583,1.0594444843861457,1.0315108647502749,0.8,20
2024-10-21,-0.005001725656467576,-0.0028237458142161592,1.0541454337269884,1.0285981402636177,0.75,20
2024-10-28,0.00288237785145668,0.0026586307721169723,1.0571838791773773,1.031332802931465,0.7,20
2024-11-04,-0.0014929756404157835,0.00487241774461777,1.055605529398325,1.0363578871810746,0.85,20
2024-11-11,0.0027346523091346664,0.0031094338925022167,1.0584922434968296,1.0395803735202374,0.9,20
2024-11-18,-0.0017416649801777373,-0.004227518415982611,1.0566487046245414,1.0351855283462865,0.75,20
2024-11-25,0.011371901705754445,-0.0006672735060455875,1.0686648098310445,1.0344947764693793,0.85,20
2024-12-02,0.008640148150835091,0.006975385008057748,1.0778982321115689,1.041710775824078,0.65,20
2024-12-09,0.01502176238393083,-0.005397534956963952,1.094090163228408,1.0360881054965214,0.6,20
2024-12-16,0.018446873926938147,0.008272692892374542,1.1142727065341855,1.0446593442027363,0.8,20
